"ID","lnB0_start","Th_start","Ea_start","Eh_start","lnB0","Th","Ea","Eh","r2","AIC","AICc","BIC","trait_name","consumer","habitat","stage"
76,-0.92879908786783,244.342921111514,-2.60989103226324,1.51075422014879,1.36326581759177,308.803220474097,0.377537103144499,2.43673201796079,0.82091774227558,35.1166561792923,45.1166561792923,35.9055544886372,"net photosynthesis rate","vitis vinifera","terrestrial","leaf"
77,-4.89963965433193,299.824138988669,-15.987038419631,-0.226726828696245,1.95217467158062,313.51482340755,0.0938212707825335,2.71179190559883,0.998764731663484,-5.63465598158036,14.3653440184196,-5.85101538535911,"net photosynthesis rate","vitis vinifera","terrestrial","leaf"
80,-2.04975532016016,235.837600103363,-10.8271246808724,1.38883538138855,3.10690449689447,301.55288128244,0.469448267210347,1.47939979661384,0.916067992845264,43.7195403471186,63.7195403471186,43.5031809433398,"net photosynthesis rate","triticum sativum","terrestrial","shoots (10-14 days old)"
81,0.701236564133079,324.109598765576,-3.8187190803034,-0.235230514133986,3.0926318897682,302.650145758228,0.582953671309353,1.51651275512034,0.931569081749696,47.6922625867248,67.6922625867248,47.475903182946,"net photosynthesis rate","triticum sativum","terrestrial","shoots (10-14 days old)"
82,1.05928312307681,320.115513249716,-3.94956072071183,1.49177021977978,3.2185982025426,302.189367612456,0.235264030190936,2.39071522299915,0.997340297374083,17.2878661110939,Inf,15.7256177608303,"net photosynthesis rate","solanum tuberosum","terrestrial","3rd leaf from top of plant at 6 leaf stage"
83,-3.15981639339384,273.49185879006,1.06989359658718,0.513977643516769,-0.980187970029883,300.072933473631,0.874440352529572,2.21965007086951,0.99067937672161,-18.6897723050047,-5.35643897167141,-18.3720061382854,"net photosynthesis rate","coffea arabica","terrestrial","15 month-old seedlings"
84,-5.81291028895458,323.518118506634,-6.55470002459422,0.370127105157694,-0.793370647005437,292.329918157567,0.78940606618264,1.59012757017832,0.942558187611675,-19.6085924996341,-9.60859249963409,-18.8196941902892,"net photosynthesis rate","coffea arabica","terrestrial","15 month-old seedlings"
87,4.99528644612637,284.844920228057,-15.4510885739517,-0.258849011541759,2.87311345742169,284.815513075013,0.0776156266050325,0.000210601600712842,0.11980692367583,27.7997911358565,Inf,26.2375427855929,"net photosynthesis rate","populus tremuloides","terrestrial",NA
103,4.11981497080484,278.844920228057,-10.855541142844,0.119647038102722,3.92048875720544,306.680240713189,0.20365995906962,3.30916153315903,0.244294867595344,44.8383284980737,Inf,43.2760801478101,"net photosynthesis rate","pinus banksiana","terrestrial",NA
104,4.12965258060178,278.844920228057,-10.9304305521631,0.130347429618666,3.62108963481865,299.575156691805,0.544984841159756,1.42157442110072,0.752163740717642,31.7817661207484,Inf,30.2195177704848,"net photosynthesis rate","picea mariana","terrestrial",NA
